X,Y
1,3.138889002154933
2,4.522340083966325
3,7.292361699247024
4,9.244128082461028
5,11.36440032953295
6,12.577527752888964
7,14.550324636868293
8,17.524670170313293
9,19.49399439988708
10,20.894040780542944
11,22.820368291019523
12,25.004635849223554
13,27.403987983328722
14,28.760483735243632
15,31.487104679726663
16,33.1770012767141
17,35.31684893128449
18,36.68373848670352
19,39.11540549761066
20,41.10213502046234
21,43.1875517445399
22,45.42567543308849
23,47.26794156148302
24,48.813066574359006
25,51.33163223805378
26,53.101081814128676
27,54.73746829984486
28,56.99792180263944
29,58.97401628102495
30,61.32617398888425
31,63.714006859842826
32,65.58592485031241
33,66.8009132166224
34,69.2564356973223
35,71.32352685946864
36,73.25993285596536
37,75.2442997556855
38,76.93339929283272
39,79.24495154691954
40,81.69645009077306
41,83.30603288053581
42,85.47873116233042
43,87.4924512816425
44,89.28867464035878
45,91.76388609060217
46,93.88985768704134
47,95.07119334050809
48,97.69943977661372
49,99.81563032671315
50,101.20580231735784
51,103.06089179910688
52,105.89249881336335
53,107.49729488972528
54,109.3655527236985
55,111.06245249300075
56,113.09664971766475
57,115.13255800055325
58,117.53820294145929
59,119.78348956335931
60,121.82576054600838
61,123.34830365164468
62,125.29602047990083
63,127.20290137879215
64,129.54131988109617
65,131.17173321551948
66,133.96727836618047
67,135.85922493483972
68,138.11249869399165
69,139.52400875040448
70,141.1607842214847
71,143.44321968083116
72,145.65559011759163
73,147.4832354012774
74,149.99856131099654
75,152.14806804552236
76,154.15594502083079
77,156.09617896271456
78,157.66811577827286
79,159.55439157981883
80,161.6398245780122
81,163.96106026970554
82,166.05980135686823
83,167.89779480553798
84,170.1884331159935
85,171.78185043002796
86,174.21700639335918
87,175.5057919149271
88,177.46109320535024
89,179.5573794924417
90,181.66798704259654
91,183.5961709581546
92,185.91165013862323
93,188.28475938617953
94,189.99651573684434
95,192.28209174960134
96,194.0901339555333
97,196.34349208386314
98,198.285980366334
99,200.35706411602632
100,201.75958414463773
101,203.99589891350925
102,205.65616767801092
103,207.5650733513388
104,210.31173489334256
105,211.66810501975493
106,214.0410354502334
107,216.4431305375963
108,218.51665226930135
109,220.10717010866236
110,221.62088199780274
111,224.4023698014594
112,226.47033470667557
113,227.85281315397413
114,230.19847317255537
115,231.99483371866478
116,233.70712452634524
117,236.13997067609603
118,238.6003224387783
119,239.68924366612626
120,242.48361568368807
121,243.9835630324915
122,245.89059469755387
123,248.4095089928906
124,250.51341926617854
125,252.0552246343791
126,253.73767315901333
127,255.90976898666926
128,258.3384788588211
129,260.31823253995856
130,261.77780438984115
131,264.45830304365217
132,266.11707961913794
133,268.1753962882112
134,270.75258643412883
135,272.18932488577576
136,274.77924820003153
137,276.05438277341693
138,278.19264284816745
139,280.53068376524385
140,282.73281868619176
141,284.2376286985403
142,286.63930082371945
143,288.2123783904966
144,290.17079571903713
145,291.9842991035989
146,294.2772461311332
147,296.27039780882063
148,298.4000494165829
149,300.3648118509512
150,302.53215397829734
151,304.2702602550225
152,306.8352829431669
153,308.3101335563064
154,310.59901473332934
155,312.21640847287404
156,314.05776930808116
157,316.92677989699166
158,318.81232297029385
159,320.5568314695292
160,322.9840794781822
161,324.133796243474
162,326.93341527044885
163,328.5512425581181
164,331.0792589736767
165,332.8551156391984
166,334.77445875212993
167,336.2613814595053
168,338.4238046413898
169,340.5831770258737
170,342.46444865985035
171,344.3727089132377
172,346.66026347741786
173,349.0201219345998
174,350.37713780526116
175,352.6578082219075
176,354.3034900947548
177,356.6782114819013
178,358.9238819099346
179,360.9216207244453
180,362.4897139153454
181,364.7893717629192
182,367.1169653159706
183,368.74727937339264
184,371.284436461103
185,372.6160428133035
186,374.86398893337366
187,377.11072133983316
188,378.35177076441516
189,381.2665707089277
190,382.9658491322742
191,384.69252911981454
192,386.617459318338
193,389.35601341971386
194,391.35394048105235
195,392.7726592453474
196,394.5485731817822
197,397.36633373873474
198,398.8837564666254
199,401.3270567189119
200,402.485371301725
201,405.13419586591255
202,407.205086330628
203,409.35549620862673
204,410.8881603313708
205,412.74099289684216
206,415.1420278506098
207,417.02877929930355
208,418.9811346746418
209,421.0080001158057
210,423.04203902189226
211,425.2275044498407
212,426.8980824977904
213,428.8984366569517
214,430.67380376585595
215,433.1229599984076
216,434.8751749919043
217,437.41292881835443
218,439.4711479357386
219,440.83358016239436
220,443.3990779251523
221,444.97887012258036
222,447.3766099242918
223,449.2755965229145
224,450.9963943245328
225,453.2573469597111
226,455.20345750418227
227,457.2802102723754
228,458.79493841927575
229,461.69694084064423
230,463.1636799185242
231,465.6213422543324
232,467.1842008057523
233,469.1529881978468
234,470.86879359665403
235,472.91067300307725
236,474.9169812085347
237,477.1034328860272
238,479.5583855234866
239,481.5670212047175
240,482.9064520537726
241,485.7249481716513
242,487.18026772450315
243,489.8185278794851
244,491.6677285808442
245,493.11111504187124
246,495.79374977310613
247,497.58126116630245
248,499.26871503883524
249,501.81995626204076
250,503.684825300687
251,505.4560797551487
252,507.78949781019674
253,509.9794659373006
254,511.58075230286346
255,513.5938441064042
256,515.5044352923491
257,517.6867055421943
258,519.3971848613554
259,521.7300847310155
260,523.2663472069288
261,526.0481226134788
262,527.1618005125978
263,529.8953228667001
264,531.5468088964662
265,533.5542234379201
266,535.3502089943158
267,537.1441831394225
268,539.6020876877857
269,542.0570266832908
270,543.4683167584561
271,545.840622763271
272,547.4405781533792
273,549.5614519601048
274,551.5744853946071
275,554.1500488944763
276,555.2759115482613
277,557.943174150647
278,559.4820928847142
279,561.3992155669014
280,563.530589136571
281,566.1637669141148
282,567.6410282324194
283,570.1340643057279
284,572.0257171750205
285,574.022906590574
286,575.7291076042577
287,578.2750447160843
288,579.6001526773537
289,581.4790346541392
290,584.2573285266502
291,585.8002948868937
292,587.7872659139226
293,590.2969983134687
294,591.549040128025
295,594.0149486122109
296,596.1387148357264
297,598.3797459209236
298,599.8566873929012
299,601.8242902803067
300,603.8735093928179
301,606.1532182658499
302,607.9861297841956
303,609.7115401254524
304,611.6478430278544
305,614.4607339149592
